ctr-runtime,node,name,filename,ioengine,readwrite,direct,ramp_time,runtime,time_based,size,bs,numjobs,iodepth,op,BW,IOPS,BW (MB/s)
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,16k,4,4,read,85.2MiB/s,5451,87.2448
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,1k,1,4,read,5941KiB/s,5941,5.941
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,1k,2,4,read,6017KiB/s,6016,6.017
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,1k,4,4,read,6367KiB/s,6366,6.367
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,256k,1,4,read,119MiB/s,477,121.85600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,256k,2,4,read,119MiB/s,476,121.85600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,256k,4,4,read,119MiB/s,473,121.85600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,2k,1,4,read,12.4MiB/s,6357,12.697600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,2k,2,4,read,12.6MiB/s,6467,12.9024
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,2k,4,4,read,12.6MiB/s,6442,12.9024
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,32k,1,4,read,118MiB/s,3770,120.83200000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,32k,2,4,read,117MiB/s,3752,119.808
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,32k,4,4,read,117MiB/s,3736,119.808
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,4k,1,4,read,24.9MiB/s,6382,25.4976
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,4k,2,4,read,24.9MiB/s,6374,25.4976
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,4k,4,4,read,24.5MiB/s,6269,25.088
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,64k,1,4,read,119MiB/s,1897,121.85600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,64k,2,4,read,119MiB/s,1899,121.85600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,64k,4,4,read,119MiB/s,1906,121.85600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,8k,1,4,read,42.4MiB/s,5430,43.4176
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,8k,2,4,read,47.0MiB/s,6020,48.128
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,8k,4,4,read,45.2MiB/s,5779,46.284800000000004
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,128k,1,64,read,120MiB/s,956,122.88
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,128k,2,64,read,120MiB/s,956,122.88
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,128k,4,64,read,120MiB/s,947,122.88
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,16k,1,64,read,74.6MiB/s,4770,76.3904
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,16k,2,64,read,78.3MiB/s,5009,80.1792
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,16k,4,64,read,78.5MiB/s,5016,80.384
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,1k,1,64,read,6444KiB/s,6442,6.444
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,1k,2,64,read,6356KiB/s,6351,6.356
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,1k,4,64,read,6394KiB/s,6385,6.394
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,256k,1,64,read,120MiB/s,477,122.88
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,256k,2,64,read,120MiB/s,476,122.88
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,256k,4,64,read,121MiB/s,476,123.904
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,2k,1,64,read,12.4MiB/s,6337,12.697600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,2k,2,64,read,12.2MiB/s,6226,12.492799999999999
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,2k,4,64,read,11.9MiB/s,6089,12.1856
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,32k,1,64,read,114MiB/s,3654,116.736
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,32k,2,64,read,115MiB/s,3685,117.76
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,32k,4,64,read,116MiB/s,3691,118.784
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,4k,1,64,read,21.9MiB/s,5605,22.4256
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,4k,2,64,read,23.7MiB/s,6070,24.2688
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,4k,4,64,read,23.3MiB/s,5945,23.8592
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,64k,1,64,read,119MiB/s,1895,121.85600000000001
